EndNodes_1,EndNodes_2,Length,Diameter
1,2,155,20
1,38,444,35
2,3,118,20
2,641,348.9,6.5
3,4,111,20
3,313,192,7
4,5,148,9.5
4,6,311,22
5,597,1036,7.5
5,640,333,9.5
6,7,555,10
6,8,466,20.5
7,596,266,12
7,597,96,8.5
8,9,229,7
8,10,511,21.5
9,11,37,6
9,12,111,7
10,14,281,20
10,15,89,9
11,314,259,6
11,314,237,10
12,13,74,7
12,320,229,6
13,315,289,7
13,319,133,7
14,19,355,12
14,20,444,19.5
15,16,392,8.5
15,17,348,10
16,21,281,10
16,332,592,7
17,18,222,7
17,321,303,8
18,331,385,7
18,331,118,7.5
19,595,481,11.5
19,600,555,8
20,22,318,10.5
20,25,747,20
21,328,799,9
21,333,363,10
22,23,222,10
22,335,185,6
23,24,444,9.5
23,334,289,7
24,336,407,10.5
24,591,703,10
25,26,222,20
25,600,444,6.5
26,27,518,12
26,30,111,18
27,28,407,10
27,29,259,10
28,588,252,10
28,591,333,12
29,578,585,9.5
29,588,429,17
30,31,59,18
30,601,222,11
31,32,59,18
31,579,289,11
32,33,222,18
32,601,237,7
33,34,178,19
33,579,44,15
34,35,266,16
34,602,659,12
35,36,444,14
35,37,348.9,14
38,39,518,13.5
38,43,1391,35
39,40,326,13
39,316,370,7
40,41,74,13
40,318,259,7
41,42,377,10.5
41,327,400,7
42,318,296,12
42,325,1110,9.5
43,44,89,11.5
43,50,962,45
44,45,229,10.5
44,46,74,9
45,47,148,10.5
45,342,696,13.5
46,360,444,10
46,361,481,7
47,48,155,9
47,49,955,10.5
48,342,659,9
48,350,229,10
49,359,533,9
49,361,355,15
50,51,15,21
50,84,429,45
51,52,7,21
51,356,607,9
52,53,259,21
52,391,370,10
53,54,755,20
53,75,407,15
54,55,422,10
54,58,577,16.5
55,56,333,10
55,327,910,7
56,57,52,7
56,326,111,7
57,395,155,7.5
57,395,89,7
58,59,111,17
58,393,296,7
59,60,311,17
59,393,377,7.5
60,61,237,17
60,396,577,10
61,62,666,18
